,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region,PricePerBags,Precio,Dia cierre
2276,2015-01-04,1.79,1374,57,153,0,1163,1163,0,0,organic,2015,Albany,768.0,2598.36,2015-01-04
2275,2015-03-01,1.76,1663,32,105,0,1525,1525,0,0,organic,2015,Albany,945.0,2383.37,2015-05-01
2274,2015-04-12,1.76,1635,51,93,0,1489,1489,0,0,organic,2015,Albany,929.0,3149.12,2015-04-12
2273,2015-05-03,2.03,1799,57,130,0,1610,1610,0,0,organic,2015,Albany,886.0,2565.9,2015-05-03
2272,2015-07-05,2.04,1573,50,183,0,1339,1339,0,0,organic,2015,Albany,771.0,2362.41,2015-07-05
2271,2015-10-04,1.98,1146,5,165,0,975,965,10,0,organic,2015,Albany,579.0,2494.77,2015-10-04
2270,2015-10-11,1.9,1170,28,88,0,1053,1035,18,0,organic,2015,Albany,616.0,2921.15,2015-10-11
2269,2015-11-08,1.88,1332,20,351,0,961,961,0,0,organic,2015,Albany,709.0,2913.45,2015-11-08
2268,2015-12-06,1.84,1158,90,104,0,964,949,15,0,organic,2015,Albany,629.0,2538.55,2015-12-06
2770,2016-01-03,1.75,1146,7,187,0,951,951,0,0,organic,2016,Albany,655.0,3319.8,2016-01-03
2769,2016-01-10,1.83,1676,35,329,0,1312,1312,0,0,organic,2016,Albany,916.0,2880.08,2016-03-10
2768,2016-02-07,1.81,1253,33,254,0,965,963,3,0,organic,2016,Albany,692.0,2914.38,2016-05-07
2767,2016-03-06,1.92,1704,65,401,0,1237,1237,0,0,organic,2016,Albany,888.0,3110.88,2016-03-06
2766,2016-04-03,1.56,1903,36,193,0,1674,1674,0,0,organic,2016,Albany,1220.0,3203.03,2016-04-03
2765,2016-04-10,1.62,2162,7,161,0,1993,1993,0,0,organic,2016,Albany,1335.0,2937.23,2016-04-10
2764,2016-05-01,1.78,1604,5,240,0,1358,1358,0,0,organic,2016,Albany,901.0,3213.24,2016-05-01
2763,2016-05-08,1.83,2104,0,536,0,1567,1567,0,0,organic,2016,Albany,1150.0,3079.83,2016-05-08
2762,2016-06-05,1.47,1007,2,203,0,801,801,0,0,organic,2016,Albany,685.0,2952.37,2016-06-05
2761,2016-06-12,1.43,887,4,150,0,732,732,0,0,organic,2016,Albany,620.0,3049.47,2016-06-12
2760,2016-07-10,1.58,2173,31,113,0,2028,2028,0,0,organic,2016,Albany,1375.0,2924.8,2016-07-10
2759,2016-08-07,1.67,1546,54,206,0,1285,1285,0,0,organic,2016,Albany,926.0,2986.49,2016-08-07
2758,2016-09-04,1.73,2195,52,181,0,1961,1961,0,0,organic,2016,Albany,1269.0,3076.29,2016-11-04
2757,2016-09-11,1.68,3501,128,227,0,3145,3145,0,0,organic,2016,Albany,2084.0,2984.78,2016-09-11
2756,2016-10-02,1.73,2493,51,139,0,2301,2301,0,0,organic,2016,Albany,1441.0,3391.93,2016-10-02
2755,2016-10-09,1.75,2179,77,155,0,1946,1946,0,0,organic,2016,Albany,1245.0,2899.29,2016-12-09
2754,2016-11-06,1.93,2674,60,194,0,2420,2420,0,0,organic,2016,Albany,1385.0,2969.83,2016-06-13
2753,2016-12-04,1.97,1365,100,99,0,1166,1166,0,0,organic,2016,Albany,693.0,3057.96,2016-12-04
3736,2017-01-08,1.94,2230,63,478,0,1688,1688,0,0,organic,2017,Albany,1149.0,2997.59,2017-01-08
3735,2017-02-12,1.78,1806,119,170,0,1516,1516,0,0,organic,2017,Albany,1015.0,3005.76,2017-04-12
3734,2017-03-05,1.84,2228,241,208,0,1778,1778,0,0,organic,2017,Albany,1211.0,2945.53,2017-03-05
3733,2017-04-02,1.86,3493,885,362,0,2245,2245,0,0,organic,2017,Albany,1878.0,2855.8,2017-06-02
3732,2017-06-04,1.63,3771,54,352,0,3364,3364,0,0,organic,2017,Albany,2313.0,2857.65,2017-06-04
3731,2017-07-02,2.03,2269,59,278,0,1931,1931,0,0,organic,2017,Albany,1118.0,2853.99,2017-07-02
3730,2017-07-09,2.0,1883,38,187,0,1657,1657,0,0,organic,2017,Albany,942.0,2919.5,2017-07-09
3729,2017-08-06,1.98,2576,39,331,0,2205,2205,0,0,organic,2017,Albany,1301.0,2907.1,2017-08-06
3728,2017-09-03,2.0,2022,112,254,0,1655,1655,0,0,organic,2017,Albany,1011.0,2987.88,2017-09-03
3727,2017-10-08,1.4,5229,23,341,0,4865,4865,0,0,organic,2017,Albany,3735.0,3011.14,2017-10-08
3726,2017-11-05,1.5,3426,3,64,0,3358,3358,0,0,organic,2017,Albany,2284.0,2949.35,2017-11-05
3725,2017-12-10,1.45,3780,18,262,0,3500,3500,0,0,organic,2017,Albany,2607.0,2953.77,2017-12-10
4375,2018-02-11,1.43,3818,59,289,0,3469,3469,0,0,organic,2018,Albany,2670.0,3193.8,2018-02-11
4374,2018-03-04,1.48,3851,311,296,0,3243,3240,3,0,organic,2018,Albany,2602.0,2792.96,2018-03-04
4373,2018-03-11,1.68,2571,131,229,0,2209,2209,0,0,organic,2018,Albany,1530.0,3177.57,2018-06-11
